Unnamed: 0,Review,Cleaned_Review,Relevance_Score
xinh,xinh,['xinh'],0
tốt,tt,['tt'],0
Tốt,tt,['tt'],0
Nice,nice,['nice'],0
Đẹp,p,['p'],0
ok,ok,['ok'],0
Ok,ok,['ok'],0
Hi,hi,['hi'],0
Tệ,t,['t'],0
Good,good,['good'],0
rỳ,r,['r'],0
Kém,km,['km'],0
Chán,chn,['chn'],0
Đểu,u,['u'],0
bbvvv,bbvvv,['bbvvv'],0
đẹp,p,['p'],0
Sibshshsi,sibshshsi,['sibshshsi'],0
🌁,,[],0
Tốt 👍,tt,['tt'],0
Ổn,n,['n'],0
T,t,['t'],0
Tối,ti,['ti'],0
1000đ,,[],0
Nhựa,nha,['nha'],0
Hah,hah,['hah'],0
Dc,dc,['dc'],0
OK,ok,['ok'],0
God,god,['god'],0
U,u,['u'],0
A,a,['a'],0
Ok,ok,['ok'],0
Đẹp,p,['p'],0
Bịp,bp,['bp'],0
Tốt,tt,['tt'],0
Tốt 👍👍👍🤩,tt,['tt'],0
Ratjatjngxhkchuc,ratjatjngxhkchuc,['ratjatjngxhkchuc'],0
Bt,bt,['bt'],0
OK,ok,['ok'],0
Ut,ut,['ut'],0
Ok 👌👌👌,ok,['ok'],0
Tot,tot,['tot'],0
👍 ok,ok,['ok'],0
đc,c,['c'],0
Tệ,t,['t'],0
tệ,t,['t'],0
Điểu,iu,['iu'],0
5sao,sao,['sao'],0
đẹp,p,['p'],0
ok,ok,['ok'],0
Toota,toota,['toota'],0
bt,bt,['bt'],0
Kèm,km,['km'],0
Ổn,n,['n'],0
Chán,chn,['chn'],0
Uknmn,uknmn,['uknmn'],0
Fake,fake,['fake'],0
Được,c,['c'],0
Dep,dep,['dep'],0
Ô kê,k,['k'],0
Tuyệt,tuyt,['tuyt'],0
G,g,['g'],0
Đc,c,['c'],0
Kém,km,['km'],0
H,h,['h'],0
Tạm,tm,['tm'],0
Xấu,xu,['xu'],0
Uh,uh,['uh'],0
BT,bt,['bt'],0
Ok,ok,['ok'],0
Được,c,['c'],0
Bịp,bp,['bp'],0
Ok,ok,['ok'],0
Đc ạ,c,['c'],0
Ok,ok,['ok'],0
Ok,ok,['ok'],0
Tốt 👍👍👍👍,tt,['tt'],0
Đã nhận,nhn,['nhn'],0
Đã nhận,nhn,['nhn'],0
Tốy,ty,['ty'],0
Tốt,tt,['tt'],0
ok,ok,['ok'],0
Ok,ok,['ok'],0
Ok,ok,['ok'],0
Ok,ok,['ok'],0
gút,gt,['gt'],0
Ok,ok,['ok'],0
Ok,ok,['ok'],0
Ok,ok,['ok'],0
Tốt,tt,['tt'],0
ok,ok,['ok'],0
Ok,ok,['ok'],0
OK,ok,['ok'],0
Ok,ok,['ok'],0
tốt,tt,['tt'],0
10 điểm,im,['im'],0
Okkk,okkk,['okkk'],0
10đieemr,ieemr,['ieemr'],0
Perfect,perfect,['perfect'],0
Ok,ok,['ok'],0
Ok,ok,['ok'],0
Ok,ok,['ok'],0
Tốt,tt,['tt'],0
Tốt,tt,['tt'],0
Ok,ok,['ok'],0
Ok,ok,['ok'],0
Ok.,ok,['ok'],0
Đẹp,p,['p'],0
Hâhhajjsjsjudueisjajhdudidjsujnjsj,hhhajjsjsjudueisjajhdudidjsujnjsj,['hhhajjsjsjudueisjajhdudidjsujnjsj'],0
Tốt,tt,['tt'],0
ok,ok,['ok'],0
Tốt,tt,['tt'],0
Ok,ok,['ok'],0
Tốt,tt,['tt'],0
Depppmuot,depppmuot,['depppmuot'],0
Ok,ok,['ok'],0
Ok,ok,['ok'],0
Cham,cham,['cham'],0
Ok,ok,['ok'],0
Hhhh,hhhh,['hhhh'],0
Tốt,tt,['tt'],0
Ok,ok,['ok'],0
Ok,ok,['ok'],0
"Hàng đẹp , rẻ ạ",hng p  r,"['hng', 'p', 'r']",10
Caption in pics 😂,caption in pics,"['caption', 'in', 'pics']",10
"Màu sắc:tốt

Tốt","mu sctt

tt","['mu', 'sctt', 'tt']",10
Giao hàng nhanh,giao hng nhanh,"['giao', 'hng', 'nhanh']",10
Màu sắc:cũng được,mu sccng c,"['mu', 'sccng', 'c']",10
Không nên mua,khng nn mua,"['khng', 'nn', 'mua']",10
Nhìn đẹp,nhn p,"['nhn', 'p']",10
Tạm được,tm c,"['tm', 'c']",10
"Chất liệu:tốt

Đẹp","cht liutt

p","['cht', 'liutt', 'p']",10
Chất liệu:good,cht liugood,"['cht', 'liugood']",10
Màu sắc:đẹp,mu scp,"['mu', 'scp']",10
Chất liệu:ổn,cht liun,"['cht', 'liun']",10
Chất liệu:tốt,cht liutt,"['cht', 'liutt']",10
"Chất liệu:sat

Đẹp","cht liusat

p","['cht', 'liusat', 'p']",10
Tuyệt phẩm,tuyt phm,"['tuyt', 'phm']",10
Đẹp rẻ,p r,"['p', 'r']",10
Đẹp mà rẻ,p m r,"['p', 'm', 'r']",10
"Màu sắc:sáng, đẹp",mu scsng p,"['mu', 'scsng', 'p']",10
Bi mất nét,bi mt nt,"['bi', 'mt', 'nt']",10
Mua sai r,mua sai r,"['mua', 'sai', 'r']",10
"Màu sắc:đúng

dôdndndnksjsjsjajajajshshsjsjjsajjajd","mu scng

ddndndnksjsjsjajajajshshsjsjjsajjajd","['mu', 'scng', 'ddndndnksjsjsjajajajshshsjsjjsajjajd']",10
"Màu sắc:ok

Tốt","mu scok

tt","['mu', 'scok', 'tt']",10
Chất liệu:ok,cht liuok,"['cht', 'liuok']",10
mẫu ok like,mu ok like,"['mu', 'ok', 'like']",10
Màu sắc:lừa đảo,mu scla o,"['mu', 'scla', 'o']",10
Màu sắc:hàng,mu schng,"['mu', 'schng']",10
Đừng mua,ng mua,"['ng', 'mua']",10
Quá tuyệt vời,qu tuyt vi,"['qu', 'tuyt', 'vi']",10
Màu sắc:đùng,mu scng,"['mu', 'scng']",10
Ok nha,ok nha,"['ok', 'nha']",10
Như đồ bỏ đi,nh  b i,"['nh', 'b', 'i']",10
Sai san pham,sai san pham,"['sai', 'san', 'pham']",10
Đẹp đúng mẫu,p ng mu,"['p', 'ng', 'mu']",10
Cũng OK ✅,cng ok,"['cng', 'ok']",10
Tuyệt vời,tuyt vi,"['tuyt', 'vi']",10
"Màu sắc:ờ

Ờ","mu sc

","['mu', 'sc']",10
Cũng được,cng c,"['cng', 'c']",10
Đồng hồ đồ chơi,ng h  chi,"['ng', 'h', 'chi']",10
Hàng trẻ em,hng tr em,"['hng', 'tr', 'em']",10
Màu sắc:ok,mu scok,"['mu', 'scok']",10
Ổn áp,n p,"['n', 'p']",10
Bị thất mất,b tht mt,"['b', 'tht', 'mt']",10
